
Mon Jul 20 07:51:51 KST 2015 | log started
Mon Jul 20 07:51:51 KST 2015 | Start of Thread
Mon Jul 20 07:51:51 KST 2015 | 75 | red | 4, 3 | 4, 0
Mon Jul 20 07:51:51 KST 2015 | 76 | blue | 4, 3 | 0, 3
Mon Jul 20 07:51:51 KST 2015 | 77 | red | 4, 1 | 4, 4
Mon Jul 20 07:51:51 KST 2015 | 78 | blue | 0, 2 | 4, 2
Mon Jul 20 07:51:51 KST 2015 | 79 | red | 4, 0 | 4, 4
Mon Jul 20 07:51:51 KST 2015 | 80 | blue | 3, 4 | 4, 4
Mon Jul 20 07:51:51 KST 2015 | 81 | red | 4, 3 | 0, 3
Mon Jul 20 07:51:51 KST 2015 | 82 | blue | 4, 2 | 4, 0
Mon Jul 20 07:51:51 KST 2015 | 83 | red | 0, 3 | 0, 0
Mon Jul 20 07:51:51 KST 2015 | 84 | blue | 4, 2 | 0, 2
Mon Jul 20 07:51:51 KST 2015 | 85 | red | 4, 3 | 4, 0
Mon Jul 20 07:51:51 KST 2015 | winner: 1
